,Tweet,Sentiment,Prediction,0.8695
874,CoronaVirusUpdates Statewise details of Total Confirmed COVID19 casestill 21 July 2020 8 AM States w… ,Positive,Positive,0.8695
875, Becausehas no balls no spine no principles. All he is for is wiping… ,Neutral,Neutral,0.8695
876,We can’t control the forces of nature but we can control how we respond. We're proud to share the stories of how… ,Positive,Positive,0.8695
877,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
878, Marching and protesting. Pregnant women involvedrisking their ownhealt and the baby they carry.… ,Positive,Positive,0.8695
879,In a special treat for DemocracySausage listenershead Kim Cunio shared a piece of music he made in resp… ,Positive,Positive,0.8695
880,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
881,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
882,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
883,The Canadian tech_sector is booming despite the COVID19 opening up vast opportunities for foreign… ,Neutral,Neutral,0.8695
884,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
885,Tell that to the pharmacist I know who got sick working without protective measure during the 1st wave of COVID19… ,Negative,Neutral,0.8695
886,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
887,COVID19 Nigeria Records 562 New Cases Of Coronaviru As Death Toll Hit 801 ,Positive,Positive,0.8695
888,On the day when the RussianReport finally comes out we see the EU's COVID19 stimulus package — which Brexit excl… ,Neutral,Neutral,0.8695
889,The changes around Covid19social distancingisolation reduced pleasurable activities job loss financial inse… ,Neutral,Neutral,0.8695
890,EU coronavirus recovery talks enter third day READ MORE  coronavirus covid19… ,Positive,Neutral,0.8695
891,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
892,How fresh produce gets from a farm to you  viaUpdated takes account of the impa… ,Positive,Positive,0.8695
893,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
894,They really need to slow down testing. Or go ahead and stop it altogether. End it this virus. Murica… ,Negative,Positive,0.8695
895, Delhi go through everything that is extreme compare it with weather pollution corruption but glad that Delhi… ,Positive,Positive,0.8695
896,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
897,Two public sector pay rises in less than an year both excluded nurses. May awarded a rise when leaving as PM and n… ,Negative,Neutral,0.8695
898,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
899,Godswill Akpabio said that COVID19 was in the 2019 budget and none of the lawmakers there was intelligent enough t… ,Positive,Positive,0.8695
900,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
901, Pribably the same guys that made the COVID19 computer model.,Neutral,Neutral,0.8695
902,"To all your faux woke idiots who say that the oxfordvaccineCOVID19""propagates white supremacy"" you just need… ",Negative,Negative,0.8695
903,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
904,Check out this webinar on fostering sustainable just cities using gender responsive policy in a postCOVID19 recov… ,Neutral,Neutral,0.8695
905,Whatsapp 0614560309 or Inbox us via our Facebook page to get the full catalogue of Inuka 's top quality products.… ,Positive,Positive,0.8695
906,As we face the storms of COVID19 we take lessons from the issues we faced around HIVAids the stigma many people… ,Positive,Positive,0.8695
907,COVID19 cases reach 1641 in Himachal Pradesh active cases stand at 547 State Health Department. ANI,Negative,Positive,0.8695
908,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
909,Hottest quarantine nurse around  nurse covid19testing hotnurse cosplay covid19 model modeling… ,Neutral,Neutral,0.8695
910,The presidentwill today address the nation at 8pm on Covid19 situation in Uganda. ,Neutral,Neutral,0.8695
911,Cooking Covid19 Statisticsnswpol auspol coronavirus ,Neutral,Neutral,0.8695
912,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
913,If not for COVID19 this criminal would be flown abroad with the samestolen funds on medical grounds End of story… ,Negative,Neutral,0.8695
914,The new  website offersinformationtestimoniesguidelinesrecommendationsand a… ,Positive,Positive,0.8695
915,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
916,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
917,COVID19 Summary of Recoveries by Region MarchJuly 17 2020 MorningStarr ,Neutral,Neutral,0.8695
918,Oil steady as vaccine news counters rise in virus casesARYNews COVID19,Positive,Positive,0.8695
919,CoronaVirusUpdates COVID19 India TrackerAs on 21 July 2020 0800 AM Confirmed cases 1155191 Act… ,Positive,Positive,0.8695
920,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
921,COVID19 threatens the future of local public radio and television stations across the country. Act now to protect… ,Neutral,Neutral,0.8695
922,If you’ve got a PS4 and are looking for some best VR games for PS4 here’s a list of the best PlayStation VR games.… ,Positive,Positive,0.8695
923,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
924,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
925, I had a nightmare last night a tiger was loose in a building I was in. I woke up in a panic. Earlier tod… ,Negative,Negative,0.8695
926, 's finally concluded the NextGenerationEU recovery package to help EUMs hit hardest by COVID19. Europe… ,Neutral,Neutral,0.8695
927,IndiaFightsCoronaAddressing MentalHealth issues among pregnant women amidst COVID19 Self care guide for pre… ,Positive,Positive,0.8695
928,This moron is telling me how COVID19 is fake and just the flu. That folks die from the flu all the time like we al… ,Negative,Positive,0.8695
929,IndiaFightsCoronaLearn how you can keep your colleagues informed about COVID19. Spread the word not the virus… ,Neutral,Neutral,0.8695
930,A coronavirus vaccine developed by the University of Oxford appears safe and triggers an immune response. Who belie… ,Positive,Positive,0.8695
931,The 1989 Loma Prieta earthquake World Series game was one of the strangest baseball games I've covered until tonig… ,Negative,Negative,0.8695
932,Face covering becomes compulsory in shops this Friday. Shoppers found not wearing masks could fined £100. But shop… ,Neutral,Neutral,0.8695
933,Low wage jobs likely to work in close proximity to other people face increased risk of exposure to COVID19 than… ,Negative,Neutral,0.8695
934,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
935,Since day one of the COVID19 outbreak we saw newly coined words being used across social media and mainstream med… ,Positive,Positive,0.8695
936,"I've been bewlidered by the use and abuse of ""behavioural science"" in the UK Government's COVID19 response.In th… ",Neutral,Neutral,0.8695
937,Vatican City has no active cases of the novel coronavirus diseaseCOVID19. COVID19,Positive,Positive,0.8695
938,SGMO Sangamo Granted Patent to treat COVID19 increasing the immune response particularly increasing the prolife… ,Positive,Positive,0.8695
939,Live uppdateringar’Markets lifted by EU recovery deal and Covid19 vaccine hopes’,Positive,Positive,0.8695
940,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
941,The worst of Covid19 may still be to come  COVID19 COVID19 vaccine socialbonds… ,Negative,Neutral,0.8695
942,12 For lung cancer patients there can be confusion between the symptoms of COVID19 such as a cough and the conc… ,Neutral,Neutral,0.8695
943,Hold a public inquiry into the Government's handling of the Covid19 pandemic Covid19Sign the Petition… ,Neutral,Neutral,0.8695
944,Interesting According toU.S. providers believe that telehealth visits will drop off next year… ,Positive,Positive,0.8695
945,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
946,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
947,"""Big Holes in the COVID19 'Spike' Narrative""It appears FakeNews &amp DeepState are still liars.Some things neve… ",Neutral,Neutral,0.8695
948,I can manage your Instagram account and grow follower organically... ,Neutral,Neutral,0.8695
949,India begins human trials of Coviaxin hoping for Covid19 vaccine successCovaxin vaccine VaccinesWork… ,Neutral,Neutral,0.8695
950,Our recent survey uncovered that 46% of U.S. companies are looking into some kind of labor cost reduction due to th… ,Positive,Positive,0.8695
951,Get Insurance Cover for Covid 19treatmentcovid19 insurance insurancecover covidinsurance… ,Neutral,Neutral,0.8695
952,BlockULBwise breakup of 84 new COVID19 positive cases detected today in Cuttack districtCuttack Municipal C… ,Positive,Positive,0.8695
953,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
954,Stay safeStaysafeCovid19PhysioSAGoPhysio ,Neutral,Neutral,0.8695
955,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
956,Largest COVID19 cluster in SriLanka — thecluster — finally ends with recovery of three patients y… ,Neutral,Neutral,0.8695
957,What this treatment offers is huge covid19 &amp COPD from the same product SNG,Positive,Positive,0.8695
958,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
959,Go on if my sons can do it So can you. If you have to leave the house today. Maintain at least 1 metre 3 feet di… ,Negative,Positive,0.8695
960,Does covid mean our Highschool reunion is cancelled COVID19,Negative,Negative,0.8695
961,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
962,Because that’s not backwards at all.PandaMicSays pandemic coronavirus covid19 quarantine PandaMic… ,Neutral,Neutral,0.8695
963,The next mission after Artemis will be to drive to Canada again. COVID19 ,Neutral,Neutral,0.8695
964,CM Yediyurappa Will Release Fresh Guidelines Today For Bengaluru Over Upcoming Festivities K Sudhakar..Video Li… ,Positive,Positive,0.8695
965,Can’t wait until voting is over then the CoronaVirus can finally be gone. Covid19 Covid Pandemic Vote… ,Neutral,Neutral,0.8695
966,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
967,South African Restaurants To Protest Lockdown Rules This Week. Full article COVID19 CassperForgivesAka… ,Positive,Positive,0.8695
968,Covid19 Recoveries approach 200 000 mark. The number of confirmed Covid19 cases in South Africa has reached 373 6… ,Positive,Positive,0.8695
969, The last 2 times I’ve ordered your delivery guys hv not even worn masks WHAT sort of… ,Neutral,Neutral,0.8695
970,Stay Safe IraqCovid19 ,Positive,Positive,0.8695
971,If you have an action plan to manage any conditions you have please remember to follow it. COVID19 COVID19Aus COVID19au,Positive,Positive,0.8695
972,India recorded 37148 COVID19 cases in the last 24 hours pushing its tally to 1155191while the total number… ,Neutral,Positive,0.8695
973,COVID19 Over 37000 new coronavirus cases in India ,Positive,Positive,0.8695
974,Why do Virus cases and deaths accelerate when reopening Covid19,Neutral,Positive,0.8695
975,Results of seroprevalence study show that nearly 6 months into the epidemic only 23.48% are affected in Delhi w… ,Positive,Positive,0.8695
976,New Developments COVID19vaccine ,Positive,Positive,0.8695
977,Great share for a sunny morning happy Tuesday Although I know staying happy and positive through the pandemic is… ,Positive,Positive,0.8695
978,Inspections If your workplace does not comply with the OHS COVID19 directives and guidelines during the lockdown… ,Neutral,Neutral,0.8695
979, I've signed up yesterday BePartOfResearch COVID19 ,Neutral,Neutral,0.8695
980,How will the DigitalHealth and VirtualCare options change the landscape of healthcare and employee benefits Jo… ,Neutral,Neutral,0.8695
981,Witness your Fitness with UsVisit Us On  physiotherapy mindfulliving… ,Neutral,Neutral,0.8695
982,In a recent interaction with the media Swiss Re China CEO John Chen shared how China domestic insurers should cat… ,Neutral,Neutral,0.8695
983,This is 's Biodiscovery Institute  partnership withto d… ,Neutral,Neutral,0.8695
984,Wish you could do more in the fight against Covid19Add your name to a new vaccine study register that’s helping… ,Positive,Positive,0.8695
985,As the Covid19 pandemic continues to decimate air passenger numbers many African airlines risk bankruptcy. Tom Co… ,Positive,Positive,0.8695
986,WakeUpMHRDThe situation have become more worse in past few days. COVID19 have started spreading in villages and… ,Negative,Negative,0.8695
987,COVID19 patients who recover after long hospital stays are developing mental health issues including depression a… ,Negative,Positive,0.8695
988, Recovered COVID19 cases in Chennai crossed the 70000 mark after the discha… ,Neutral,Neutral,0.8695
989,SAGE is there to give advice on how to respond to the pandemic. These involve benefits for some &amp costs to others.… ,Neutral,Neutral,0.8695
990,There are now 3147 active COVID19 cases in VIC an increase of 374. Tragically 3 people have died &amp my thoughts… ,Negative,Positive,0.8695
991,COVID19 has caused fear and anxiety Pay extra attention to your health and that of the vulnerable groups of People… ,Negative,Neutral,0.8695
992,Don't look for covid19 data any more. It's there everywhere or Covid19isGettingCloser. Anyone can be a carrier an… ,Positive,Positive,0.8695
993,Hehehe.has hit the nail on the head. Guys must HandWashSanitize keep good Hygieneeat… ,Positive,Positive,0.8695
994,Covid diariessummer italy covid19 polaroid filmphotography film streetphotographerwanderandcollect… ,Neutral,Neutral,0.8695
995, Top 5 Trending Hashtags on Twitter in the  World1⃣ KanaryaMahKentselDönüşüm2⃣ pinargultekin3⃣ COVID19… ,Positive,Positive,0.8695
996,BreakingNews26th COVID19 Death reported in Goa. 52yearold from Mapusa Khorlim succumbs to COVID. brought… ,Neutral,Neutral,0.8695
997,Bloomsbury Publishing Good news  Books doing well in COVID19Since June bookshops started to reopen and i… ,Positive,Positive,0.8695
998, you should be protecting your citizens by making masks mandatory.acted out of a need of ri… ,Neutral,Neutral,0.8695
999, SafeSpecialSchools LeftBehindAgain  has simply failed to ensure that learners with disabilities are a… ,Negative,Negative,0.8695
1000,This is the 40k game I purchased fromearlier. I won.You are still the best among the re… ,Positive,Positive,0.8695
1001,"""Zimbabwe police arrested 105000 people since March for allegedly violating COVID19 restrictions.Activists say… ",Negative,Neutral,0.8695
1002,Testing COVID19 positive Advised home care for mild cases ,Positive,Positive,0.8695
1003,"""Surging COVID19 cases in South Africa should be ""a warning"" for other African nations to ramp up testing WHO say… ",Negative,Positive,0.8695
1004,"""Teachers unions are suing the state of Florida for pushing to reopen schools in Aug. — even as COVID19 cases surg… ",Neutral,Neutral,0.8695
1005,Covid diariessummer italy covid19 polaroid filmphotography film streetphotographerwanderandcollect… ,Neutral,Neutral,0.8695
1006,"""25% of new COVID19 cases in France in early July were in its overseas territory French Guiana 0.5% of France's p… ",Positive,Positive,0.8695
1007,COVID19 deaths staggering economic damage amidst physical sickness of millions of Americans incl in NaziGOP of… ,Positive,Positive,0.8695
1008,Ghaziabad Need O Blood COVID19 recovered Plasma donorYashoda Hospital Kaushambi. Call 9999373877 BloodAid… ,Neutral,Neutral,0.8695
1009,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
1010,Press release Singapore tops the list for AV readiness as selfdriving vehicles gain momentum in the wake of COV… ,Neutral,Neutral,0.8695
1011,THMO ThermoGenesis Holdings Many ShortTerm Catalysts In LowFloat Stock &gt  ,Positive,Positive,0.8695
1012,CGTenEricsson por tus derechosFuente ericssonStaying connected has been as crucial as water and electricity… ,Neutral,Neutral,0.8695
1013, Twerk Battle episode 2  Snapchat Girls vs Instagram Girlswhich girls twerk better  go watch th… ,Positive,Positive,0.8695
1014,How do you determine positivity rate Do you use total number of te… ,Neutral,Neutral,0.8695
1015, For those who are not wearing mask sanitizing their hands maintaining social distancing. Be atma… ,Positive,Positive,0.8695
1016, Sign “COVID19 Medicaid FMAP bump &amp increased HCBS funding” and I’ll deliver a copy to your officials… ,Neutral,Neutral,0.8695
1017,Our very ownis in thethis weekCOVID19 as a global challenge towards an inclusive andsu… ,Positive,Positive,0.8695
1018,COVID19 EU reaches ‘historic’ deal on postpandemic recovery ,Neutral,Neutral,0.8695
1019,N 95 mask with valves are can be detrimental for preventing covid 19 viruses.COVID19 N95 unionhealthminister ,Neutral,Neutral,0.8695
1020,PaTvUpdates Gwede Mantashe South Africa’s Minister of Mineral Resources &amp Energy was on Monday admitted to hosp… ,Neutral,Neutral,0.8695
1021,Still planning to send our children back to school Gov. Mike Parson because as you'… ,Neutral,Neutral,0.8695
1022,The COVID19 vaccine developed by the University of Oxford and AstraZeneca shows promising results in the early tes… ,Positive,Positive,0.8695
1023,Please sign the petition to hold the Govt to account. Hold a public inquiry into the Government's handling of the… ,Neutral,Neutral,0.8695
1024,In my hometown a nurse just posted on FB “Don’t have a heart attack or car accident this week. ICU beds are full” COVID19 TuckFrump,Positive,Positive,0.8695
1025,Twerk Battle episode 2  Snapchat Girls vs Instagram Girlswhich girls twerk better  go watch the video here… ,Positive,Positive,0.8695
1026,Our team are deeply concerned about the impact of COVID19 on indigenous peoples in the Americas which remains the… ,Neutral,Neutral,0.8695
1027,. has started counselling services for students from April 2020 in the wake of COVID19 Also Alternative… ,Neutral,Neutral,0.8695
1028,Sometimes we need to read bible with her..COVID19 Retweet and like I will follow everyoneAdvicer ,Neutral,Neutral,0.8695
1029,Twitter algorithms at its best.One tweet is blaming PDP for all the corruption in Nigeria the other is blaming A… ,Negative,Neutral,0.8695
1030,The number of confirmed cases as on21st July 12.00 pmFor more updates on covid19 log on to… ,Positive,Positive,0.8695
1031,"""We classify a smokingrelated death when someone who has ever seen a cigarette dies.""Same playbook for covid19… ",Neutral,Neutral,0.8695
1032,     Check out the video to get to know ,Neutral,Positive,0.8695
1033,It is yet another Tuesday sharing a captivating moving story by womeninconservation Envirowild… ,Positive,Positive,0.8695
1034,26 new cases in Cambodia 813 GMT coronavirus CoronaVirusUpdate COVID19 CoronavirusPandemic,Positive,Positive,0.8695
1035,I don't know if it's a coincidence but theStudy 2020 has been published today on the… ,Neutral,Neutral,0.8695
1036, Sir forget this story .Just focus on COVID19 and Bihar Flood story please I request .,Neutral,Neutral,0.8695
1037,"A very interesting read... but a hard read by COVID19 ""It’s becoming clear why the US’ res… ",Positive,Positive,0.8695
1038,Schools back Sort of...    As parents in lockdown scramble to remember what an infinitive is we revisit Li… ,Neutral,Neutral,0.8695
1039,"hackernoon ""How Basma Is Helping To Fight COVID19 in Bahrain"" by startups covid19",Neutral,Neutral,0.8695
1040,COVID19Why the government wants you to stop wearing valved N95 face masksAvoid wearing a mask which has valv… ,Positive,Positive,0.8695
1041,What’s clear is the ‘rushed through vaccine’ was never rushed. It will have been being developed for years. Just l… ,Positive,Positive,0.8695
1042,COVID19 The national daily infection rate has slowed down with less than 10 000 new infections recorded over the… ,Negative,Positive,0.8695
1043,COVID19 and EU’s Recovery Fund almost a third of the funds are intended to combat climate changechart… ,Neutral,Neutral,0.8695
1044,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1045,We learned during Ebola outbreaks in DRC that no matter how bad the situation is there's always hope.The same a… ,Negative,Neutral,0.8695
1046,“Only now”What utter nonsense. Cobblers in fact.COVID19 coronavirus lockdown ,Neutral,Neutral,0.8695
1047,Unveiled 5 new achievements of theAfghanDreamers to help fight off COVID19 at a ceremony in Herat. They have succ… ,Positive,Positive,0.8695
1048,Covid19 has made existing workplace inequities impossible to ignore. Catalyst CEO lhariton spoke to JBoorstin and… ,Negative,Neutral,0.8695
1049,95N95 masks with valved respirators ineffective against Covid19 says govtN95mask N95 Masks COVID19… ,Neutral,Neutral,0.8695
1050,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1051,DM if you want to know more or even better start with our 21 days challenge. COVID19 Shaka hustlersPlatform ,Positive,Positive,0.8695
1052,Your security is our priorityNDDCProbe bbnlockdown COVID19 CCTV ,Neutral,Neutral,0.8695
1053,As per the it is significant to support people who are older or isolated during COVID19. So do stay conne… ,Positive,Positive,0.8695
1054,The end of the selfisolation mode very goodbut.... please to not forget to observe security measures because the… ,Positive,Neutral,0.8695
1055,Place your order now 0671396085  Info.co.za please retweet. NDDCProbe… ,Neutral,Neutral,0.8695
1056,My tweet will be foolish to some people and for people who got sense they will understand that Nigeria can't chang… ,Neutral,Neutral,0.8695
1057,A mustread for all employee resource group ERG leaders. Covid19 InclusionMatters  ,Neutral,Neutral,0.8695
1058,Covid diariessummer italy covid19 polaroid filmphotography film streetphotographerwanderandcollect… ,Neutral,Neutral,0.8695
1059,Last week the 2020 National MSME Resilience eForum was held. Day 1 focused on the role of data &amp communication in… ,Neutral,Neutral,0.8695
1060,NCDCgov Abiastategov is intensifying active case finding across the state with a target to test 10000 people in t… ,Negative,Positive,0.8695
1061,Retweet. NDDCProbe bbnlockdown NDDCProbe Nengi NDDCHearing COVID19 DorathyDorothy Dorathians… ,Neutral,Neutral,0.8695
1062,NCDCgov The COVID19Nigeria situation report for 19th July 2020 has been published.Our daily COVID19 situation… ,Neutral,Neutral,0.8695
1063,NCDCgov Despite the ease on interstate travel restrictions it is critical for Nigerians to adhere to preventive m… ,Neutral,Neutral,0.8695
1064,NCDCgov COVID19 spreads easily even by those showing no symptomsIf you are showing symptoms suggestive of… ,Positive,Positive,0.8695
1065,Dear could you please let us know why can't a covid19 patient from Berhampur be trea… ,Neutral,Neutral,0.8695
1066,COVID19 pandemic has changed the world and there’ll clearly be some winners out there but overall economic activi… ,Positive,Positive,0.8695
1067,Ghaziabad Municipal Corporation is protecting its people from the menace of COVID19 by organising regular sanitisa… ,Neutral,Neutral,0.8695
1068,Rushing through a vaccine and then attempting to coerce the mass of the population to take it is unbelievably dange… ,Negative,Neutral,0.8695
1069,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1070,Guernsey and Isle of Man have formed an air bridge that unlike the UK air bridges with 60 other countries may wor… ,Negative,Positive,0.8695
1071,O LORD let every evil conspiracy against the progress of this nation be scattered Psalms 215 Isaiah 5415.… ,Negative,Negative,0.8695
1072,Casualties dwindling to downward trajectory due to coronavirus in Pakistan ,Negative,Positive,0.8695
1073,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1074,Maybe finally the world will see less carbon emissions COVID19 carbonfootprint savetheplanet green ,Negative,Negative,0.8695
1075,Health Ministry says 23.48% of the Delhi population have Covid19.For every coronavirus update… ,Neutral,Neutral,0.8695
1076,Be responsible be safe IYOPS COVID19 masksRepost IG ,Positive,Positive,0.8695
1077,Latest CoronaVirus updates Date 2172020TheCivilEyes Pakistan covid19 ,Positive,Positive,0.8695
1078,How the coronavirus travels through the air has become one of the most divisive debates in the COVID19 pandemic. E… ,Positive,Positive,0.8695
1079, I have loved you since I was 5 yo. My sister 16yo played your albums everyday. They were her mot… ,Positive,Positive,0.8695
1080,Have you paid homage and said 'Thank you very much' to any doctor or nurse for providing services to COVID19 patie… ,Positive,Positive,0.8695
1081,"Bihar A cultural program was organised in Nalanda y'day amid COVID19. DSP Nalanda said ""Based on viral video pi… ",Positive,Positive,0.8695
1082,Not surprised. covid19 covid_19 covid ,Negative,Neutral,0.8695
1083,The results of the seroprevalence study in Delhi show that on an average across the capital the prevalence of Ig… ,Negative,Negative,0.8695
1084,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1085,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
1086,Last week Varavara Rao tested positive for COVID19.Amnesty International India is concerned about the health of… ,Positive,Positive,0.8695
1087,Two students who appeared for Kerala Engineering Architecture Medical KEAM examination at two different exam cent… ,Neutral,Neutral,0.8695
1088,Opportunity for African startupsis offering funding support of up to 30 000 to emerging busin… ,Neutral,Neutral,0.8695
1089,WATCH I have tested positive for COVID19 Day117ofLockdown StaySafeStayAtHomeSA Level3LockdownYouTube ,Positive,Positive,0.8695
1090,Recovered COVID19 patients who were on ventilators could have irreversible lung fibrosis that leaves them short of… ,Neutral,Neutral,0.8695
1091,The use of valved respirator N95 masks is detrimental to the measures adopted for preventing the spread of… ,Neutral,Neutral,0.8695
1092,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
1093, Two students who appeared for Kerala Engineering Architecture Medical KEAM examination at two diffe… ,Neutral,Neutral,0.8695
1094,Stay UpdatedTuesday July 21 2020.news trending today tuesday July2020 Trump MadagascarCure COVID19… ,Neutral,Neutral,0.8695
1095,According to Stanford University's disease prevention chairman Dr. John Ioannidis the COVID19 fat… ,Neutral,Neutral,0.8695
1096,EU launches a € 3 million programme to combat COVID19 in Kazakhstan and CentralAsia. Implemented bythe pr… ,Neutral,Neutral,0.8695
1097,China's electricity consumption a key barometer of economic activity rose by 6.1% YoY to 635 billion kWh in June… ,Positive,Positive,0.8695
1098,On my way to a paid working interview today since I lost my job 2 mos ago to COVID19 a car ran the red and smash… ,Neutral,Neutral,0.8695
1099, Father Good Morning In Always.7 JusticeMatters NoRacism COVID19 HEROESACT LeaveNoOneBehind… ,Positive,Positive,0.8695
1100,Oxford vaccine ‘could give double protection against Covid19’ ,Neutral,Neutral,0.8695
1101,Our lovely Scottish thistle  notyouraveragebandb COVID19 COVID19 reopening… ,Positive,Positive,0.8695
1102,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
1103,Do you have a problem right nowJust faint your way outGod bless my country and kill all her killers… ,Negative,Positive,0.8695
1104,What will your go to greeting be going forwardCan’t add anymore options but please comment other variations COVID19,Negative,Positive,0.8695
1105,Brought to you by SESCIStop Don't Drop with the support of German Green Foundation Heinrich Boell Stiftung HBS… ,Negative,Negative,0.8695
1106,Hey 20's A FREE 3 day personal finance boot camp byawaits youSign up now to receive your zoom… ,Positive,Positive,0.8695
1107,The Stockholm Declaration is a commitment by the international community to reduce road deaths &amp injuries by 50% by… ,Neutral,Neutral,0.8695
1108,TuneIn 8am What will Ireland get from the EU COVID19 Recovery Fund… ,Neutral,Neutral,0.8695
1109,CoronavirusGambia Daily Case Update as of 20th July 2020 Coron… ,Neutral,Neutral,0.8695
1110,Tiktokers follow WHO to keep uptodate how to protect yourself &amp others from COVID19 Join our SafeHands cha… ,Neutral,Neutral,0.8695
1111,Brazil asked to take measures to protect indigenous peoples from COVID19Vía ,Neutral,Neutral,0.8695
1112,How to put on and remove a mask COVID19 ,Neutral,Neutral,0.8695
1113,Two students who appeared for Kerala Engineering Architecture Medical KEAM examination at two different exam cent… ,Neutral,Neutral,0.8695
1114,edutok edutokcareer edutoktech edutokmotivationWork_From_Homeunlock1 shruticreationbiz“You only have… ,Neutral,Neutral,0.8695
1115,First Human Trial of Astrazeneca COVID19 Vaccine Shows Promise,Positive,Positive,0.8695
1116,India reports 37148 new coronavirus cases in 24 hrs tally at 1155191coronavirus COVID19 CoronavirusVaccine… ,Positive,Positive,0.8695
1117,Covid19 causes sharp drop in immigration to Israel  aliyah ,Negative,Positive,0.8695
1118,I guess the idea can be replicated to deal with many complex problems like climate change CyberSecurityand ev… ,Positive,Positive,0.8695
1119,Help slow the spread of COVID19 and identify at risk cases sooner by selfreporting your symptoms daily even if y… ,Negative,Negative,0.8695
1120,COVID19Why the government wants you to stop wearing valved N95 face masksAvoid wearing a mask which has valv… ,Positive,Positive,0.8695
1121,Here are some useful tips on how to ace your online job interviews especially now that employers are opting for vir… ,Positive,Positive,0.8695
